label,City,Zip Code,Latitude,Longitude
Hat Creek — 96040,Hat Creek,96040,40.789799,-121.474529
Hathaway Pines — 95233,Hathaway Pines,95233,38.184914,-120.364085
Hawaiian Gardens — 90716,Hawaiian Gardens,90716,33.830431,-118.074071
Hawthorne — 90250,Hawthorne,90250,33.914775,-118.348083
Hayfork — 96041,Hayfork,96041,40.547857,-123.187265
Hayward — 94541,Hayward,94541,37.674002,-122.076796
Hayward — 94542,Hayward,94542,37.656695,-122.048361
Hayward — 94544,Hayward,94544,37.639215,-122.037554
Hayward — 94545,Hayward,94545,37.62984,-122.120843
Healdsburg — 95448,Healdsburg,95448,38.618347,-122.908422
Heber — 92249,Heber,92249,32.730583,-115.501083
Helendale — 92342,Helendale,92342,34.757783,-117.33997
Helm — 93627,Helm,93627,36.520537,-120.118055
Hemet — 92543,Hemet,92543,33.739415,-116.968339
Hemet — 92544,Hemet,92544,33.644585,-116.871544
Hemet — 92545,Hemet,92545,33.734933,-117.044145
Herald — 95638,Herald,95638,38.313447,-121.123886
Hercules — 94547,Hercules,94547,37.991259,-122.214945
Herlong — 96113,Herlong,96113,40.198234,-120.18089
Hermosa Beach — 90254,Hermosa Beach,90254,33.86532,-118.396336
Hesperia — 92345,Hesperia,92345,34.361387,-117.337509
Hickman — 95323,Hickman,95323,37.605926,-120.69955
Highland — 92346,Highland,92346,34.129677,-117.154277
Hilmar — 95324,Hilmar,95324,37.394536,-120.890747
Hinkley — 92347,Hinkley,92347,34.983808,-117.239306
Hollister — 95023,Hollister,95023,36.875409,-121.279679
Holtville — 92250,Holtville,92250,32.811001,-115.152865
Homeland — 92548,Homeland,92548,33.761894,-117.120868
Homewood — 96141,Homewood,96141,39.117018,-120.212535
Honeydew — 95545,Honeydew,95545,40.342928,-124.063329
Hood — 95639,Hood,95639,38.375325,-121.507935
Hoopa — 95546,Hoopa,95546,41.163637,-123.704841
Hopland — 95449,Hopland,95449,38.93706,-123.118111
Hornbrook — 96044,Hornbrook,96044,41.962127,-122.527696
Hornitos — 95325,Hornitos,95325,37.479926,-120.230424
Hughson — 95326,Hughson,95326,37.5923,-120.853288
Hume — 93628,Hume,93628,36.807595,-118.901544
Huntington Beach — 92646,Huntington Beach,92646,33.666301,-117.969501
Huntington Beach — 92647,Huntington Beach,92647,33.723579,-118.005441
Huntington Beach — 92648,Huntington Beach,92648,33.679659,-118.016195
Huntington Beach — 92649,Huntington Beach,92649,33.721917,-118.043237
Huntington Park — 90255,Huntington Park,90255,33.97803,-118.217141
Huron — 93234,Huron,93234,36.217864,-120.080117
Hyampom — 96046,Hyampom,96046,40.648024,-123.465088
Hydesville — 95547,Hydesville,95547,40.557314,-124.081662
Idyllwild — 92549,Idyllwild,92549,33.755039,-116.741796
Igo — 96047,Igo,96047,40.524535,-122.647172
Imperial — 92251,Imperial,92251,32.858595,-115.662709
Imperial Beach — 91932,Imperial Beach,91932,32.579134,-117.119009
Independence — 93526,Independence,93526,36.869584,-118.189241
Indian Wells — 92210,Indian Wells,92210,33.537646,-116.291089
Indio — 92201,Indio,92201,33.713891,-116.237257
Indio — 92203,Indio,92203,33.752938,-116.230055
Inglewood — 90301,Inglewood,90301,33.956445,-118.358634
Inglewood — 90302,Inglewood,90302,33.975332,-118.355252
Inglewood — 90303,Inglewood,90303,33.936291,-118.332639
Inglewood — 90304,Inglewood,90304,33.936827,-118.359824
Inglewood — 90305,Inglewood,90305,33.958134,-118.330905
Inverness — 94937,Inverness,94937,38.099323,-122.945723
Inyokern — 93527,Inyokern,93527,36.041315,-118.188235
Ione — 95640,Ione,95640,38.33788,-120.954202
Irvine — 92602,Irvine,92602,33.720359,-117.733655
Irvine — 92604,Irvine,92604,33.688546,-117.788091
Irvine — 92606,Irvine,92606,33.703976,-117.824172
Irvine — 92612,Irvine,92612,33.643095,-117.810896
Irvine — 92614,Irvine,92614,33.680302,-117.833296
Irvine — 92618,Irvine,92618,33.667145,-117.732135
Irvine — 92620,Irvine,92620,33.716136,-117.752574
